,Extra_disp,Intra_disp,CH_score
2020-06-29/744897_6A,1234891.6596219065,45334313.15318107,82.0077458303091
2020-06-29/745559_1A,279765.79408421426,7344392.990697343,47.21176081225093
"2020-06-29/746472_1A,1B",15754475.770052914,258587164.53157923,288.8463925157404
"2020-06-30/743303_7A,7B",5889640.374759368,136038726.46138397,151.45055011104975
"2020-06-30/744172_7A,7B",19024947.246139873,411002940.4310821,302.5361572374714
"2020-06-30/744646_8B,8C",6841377.063525513,266855846.84683114,128.49252601188434
"2020-07-01/739321_7A,7B",1899372.2966791072,164292136.378848,40.78238838111456
"2020-07-01/739323_7B,7C",104381441.00080724,204310327.1298248,2611.9075157343204
"2020-07-01/741893_1A,1B",2061706.473974454,78125151.74539651,46.451311189980146
"2020-07-01/742282_1A,1B",29353527.527627733,443255654.87389207,477.4912007505521
"2020-07-06/736058_1A,1B",73593394.23640434,109125427.90256105,2301.432599150059
"2020-07-06/736463_1A,1B",14410846.062837183,124088178.00388534,304.80507639767427
"2020-07-06/737435_1A,1B",10127627.9707126,348959851.91341394,184.00737651575028
"2020-07-06/738595_A,B",15075436.039680332,194281434.94810304,228.56638057230884
"2020-07-06/739100_BD1,BD2",37348089.854683705,64097158.22695162,1777.9877382249094
"2020-07-07/734057_7B,7C",10583879.358768648,453843957.1179299,115.36663729164367
"2020-07-07/734098_A,B",88937512.12553278,212048514.29643217,1412.5246495132315
"2020-07-08/624436_13A,13B",22617002.31799386,282314459.2551964,370.20125709174397
"2020-07-08/625482_7A,7B",11243323.744673658,152938669.97146502,315.0422295709399
"2020-07-08/627381_1A,1B",12088157.308484528,191937103.4104616,162.47524668400635
"2020-07-08/635605_7A,7B",15119547.945154341,132645511.3912795,274.36097552245604
"2020-07-08/637613_BD,1A",66628097.65709972,131234424.77236292,1431.7221698417488
"2020-07-08/646409_7A,7B",10543255.939720578,221106320.55284122,197.39310110602113
2020-07-08/646591_10,78567.86687681412,796067.7550813069,34.76036120969084
"2020-07-08/647319_1A,1B",3987280.7084608017,38534868.354150996,69.28486527702776
"2020-07-09/620114_A,B",56098161.46438168,140352541.22504953,1673.361670097523
"2020-07-09/622803_10B,10C",14963341.6589919,161629476.01060274,349.79690289057294
"2020-07-09/623580_1A,1B",1627053.7109905188,258506903.79048768,27.243138111155183
"2020-07-10/591533_7A,7B",139166294.5830836,438532453.7200585,2583.2557238474706
"2020-07-10/595955_7A,7B",16452011.423112478,416693457.7600843,219.69524756847858
"2020-07-10/612788_1A,1B",5809803.912895898,243186726.67606565,78.14517206112318
"2020-07-13/562793_1A,1B",120266259.55870634,283537700.6352396,2670.2770345164477
"2020-07-13/576903_1A,1B",11910300.295557924,277752541.7867358,192.43267140786327
"2020-07-13/578325_10B,10C",2420720.8229248566,341040070.91148436,31.04120954033761
"2020-07-13/581520_7A,7B",4310309.123911049,157248508.89687404,92.28123559553451
"2020-07-13/581654_1A,1B",71018902.30979319,450008961.80828106,1242.837603106133
"2020-07-13/584570_7B,7C",24521197.431736287,350931231.4509204,432.9433395223096
